index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
24875,39608594,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17
24876,39591246,1,0,1,1,1,1,1,1,0,1,1,1,0,1,23
24877,39530011,0,0,1,1,1,1,1,1,0,1,1,1,1,1,15
24878,39403683,0,0,1,1,1,1,1,1,0,1,1,1,1,1,2
24879,39274610,0,0,1,1,1,1,1,0,0,1,1,0,1,1,26
24880,39209226,1,0,1,1,1,1,1,1,0,0,1,1,1,1,17
24881,39191912,0,0,1,1,1,1,1,1,1,1,1,0,0,1,24
24882,39159892,1,0,1,1,1,1,1,0,0,1,1,1,1,1,11
24883,39159882,1,0,0,1,1,1,1,1,0,1,0,1,0,1,12
24884,39079791,0,0,1,1,1,1,1,1,0,1,1,1,1,1,27
24885,39034053,0,0,0,1,1,1,1,1,1,1,0,1,1,1,12
24886,39028403,1,0,0,1,1,1,1,1,0,1,0,0,0,1,27
24887,39021011,1,0,1,1,1,1,1,0,0,1,1,1,1,1,6
24888,39018230,1,0,1,1,1,1,1,1,0,1,1,1,1,1,17
24889,38961086,1,0,0,1,1,1,1,1,0,1,0,1,0,1,26
24890,38751444,1,0,1,1,1,1,1,1,0,1,1,1,1,1,27
24891,38707841,0,0,1,1,1,1,1,0,0,1,1,1,1,1,19
24892,38575571,1,0,1,1,1,1,1,0,0,1,1,1,1,1,30
24893,38542741,1,0,1,1,1,1,1,1,0,0,1,1,1,1,12
24894,38542738,1,0,1,1,1,1,1,1,0,0,1,0,0,1,11
24895,38542739,1,0,1,1,1,1,1,1,0,0,1,1,0,1,7
24896,38520585,0,0,0,1,1,1,1,0,1,1,0,0,1,1,28
24897,38508289,0,0,1,1,1,1,1,0,0,1,1,1,1,1,27
24898,38417553,1,0,1,1,1,1,0,0,0,0,1,1,0,1,4
24899,38407621,0,0,1,1,1,1,1,1,0,1,1,0,0,1,23
24900,38377842,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
24901,38377843,0,0,1,1,1,1,1,0,0,1,1,1,0,1,19
24902,38377844,1,0,1,1,1,1,1,1,0,1,1,1,0,1,25
24903,38377848,0,0,1,1,1,1,1,1,0,1,1,1,0,1,21
24904,38377850,1,0,1,1,1,1,1,0,0,1,1,1,0,1,21
24905,38377834,0,0,1,1,1,1,1,0,0,1,1,1,1,1,16
24906,38377839,1,0,1,1,1,1,1,1,0,1,1,1,1,1,26
24907,38353717,0,0,1,1,1,1,1,1,0,1,1,0,1,1,27
24908,38238056,1,0,1,1,1,1,1,1,0,1,1,1,1,1,27
24909,38178196,1,0,1,1,1,1,1,1,0,1,1,1,1,1,29
24910,38006871,0,0,1,1,1,1,1,0,0,1,1,1,1,1,18
24911,37998720,1,0,1,1,1,1,1,1,0,1,1,1,1,1,25
24912,37998704,1,0,0,1,1,1,1,1,0,1,0,0,0,1,14
24913,37870388,1,0,0,1,1,1,1,1,0,1,0,1,1,1,28
24914,37822991,1,0,1,1,1,1,1,1,0,1,1,0,0,1,15
24915,37792008,0,0,1,1,1,1,1,0,0,1,1,1,1,1,25
24916,37713612,1,0,1,1,1,1,1,1,0,1,1,1,1,1,26
24917,37663412,1,0,1,1,1,1,0,0,0,0,1,1,0,1,22
24918,37439375,0,0,1,1,1,1,1,0,1,1,1,1,1,1,11
24919,37370436,1,0,1,1,1,1,1,1,0,1,1,1,1,1,4
24920,37339466,0,0,1,1,1,1,1,1,0,1,1,1,1,1,16
24921,37268675,0,0,1,1,1,1,1,1,0,1,1,1,0,1,11
24922,37268663,1,0,1,1,1,1,1,1,0,1,1,1,0,1,20
24923,37199520,1,0,0,1,1,1,1,1,0,1,0,1,0,1,10
24924,37170526,1,0,0,1,1,1,1,0,1,1,0,1,1,1,30
24925,37162146,1,0,1,1,1,1,1,0,1,1,1,1,0,1,18
24926,37012053,1,0,1,1,1,1,1,1,0,1,1,1,1,1,29
24927,37003353,0,0,0,1,1,1,1,0,0,1,0,1,1,1,26
24928,36682399,0,0,1,1,1,1,1,1,1,1,1,1,1,1,7
24929,36160608,0,0,1,1,1,1,1,0,0,1,1,1,1,1,15
24930,36144529,1,0,1,1,1,1,0,1,1,1,1,1,1,1,22
24931,35957354,0,0,1,1,1,1,1,1,0,1,1,1,1,1,29
24932,35957246,0,0,1,1,1,1,1,1,0,1,1,1,1,1,3
24933,35916190,1,0,1,1,1,1,1,0,0,1,1,1,0,1,30
